LAKE_ID DEPTH_M ELEV_M LONG_DD LAT_DD Fch_Jan Fch_Feb Fch_Mar Fch_Apr Fch_May Fch_Jun Fch_Jul Fch_Aug Fch_Sep Fch_Oct Fch_Nov Fch_Dec Area2000_02_km2 sto_cap_km3 area_cap_km2 elev_cap_m a b tile1 tile2
109 8.4 305 -103.402 53.659 10150 9342 12339 5942 4988 5019 14234 11719 12255 14971 14568 11938 253.552 2.196 263.859 313.5939441 0.008968001 311.2276565 h11v03 hxxvxx
110 8.3 149 105.431 15.205 8794 8100 16348 9727 13004 8495 8625 7979 8312 13280 12236 10775 218.908 1.966 288 145.9443488 0.057090915 129.5021653 h28v07 hxxvxx
111 13.3 483 34.39 11.798 9860 9839 8590 4174 4337 5041 5500 5477 5153 4915 4131 9708 219.232 7.4 450 487.1189076 0.0250552 475.8440676 h21v07 hxxvxx
112 87.3 887 72.653 41.682 5303 5306 5231 5317 5268 5465 6319 6379 5845 5415 5386 5353 235.767 19.5 284.3 901.2390333 0.554713124 743.5340921 h23v04 hxxvxx
113 56.3 349 145.979 -42.729 9298 9130 9045 9818 9145 9013 8951 9047 9192 9875 9447 9098 225.616 12.4 278 311.4156463 0.370071098 208.5358811 h28v13 hxxvxx
114 14.3 471 75.121 18.072 7177 6701 9700 9667 7181 4877 4999 5475 6309 4498 5632 6741 209.437 1.52 268.91 496.83 0.054530492 482.1662242 h25v07 hxxvxx
115 8 265 -64.887 -27.524 12277 12019 11475 10404 9790 9987 9997 9717 10811 10932 11587 12482 196.934 1.74 330 276.3627035 0.0292202 266.7200375 h12v11 hxxvxx
116 5.4 117 37.122 56.734 4520 3966 3913 3889 8019 5158 4373 7321 4779 4520 3953 4128 199.861 1.17 220.568 123.4663297 0.017940946 119.5091377 h19v03 h20v03
117 66.9 354 72.691 34.091 3127 3412 3307 3342 3827 4001 3984 4970 4303 3599 3267 3127 150.485 13.69 250 483.5537381 0.528388436 351.4566291 h23v05 h24v05
118 59.2 161 79.31 16.573 3480 3674 4341 4757 5621 4148 4087 3971 3900 5455 4566 3956 204.719 6.841 272.179 179.83 0.290441941 100.7778375 h25v07 hxxvxx
119 2.3 366 13.368 63.405 4619 4619 4619 4619 4619 7686 5393 4619 4619 4619 4619 4619 191.502 0.45 189.739 392.7989991 0.027815357 387.5213455 h18v02 hxxvxx
120 49.2 680 39.137 38.228 2672 2942 4036 6078 2360 2788 2703 2720 2646 2360 2532 2747 208.516 9.5 298 697.541898 0.220729565 631.7644876 h20v05 h21v05
121 45.2 413 75.949 31.973 5657 5882 5392 5137 5137 5137 5137 5137 5137 5163 5202 5453 167.181 6.16 254.851 423.67 0.204734264 371.49329 h24v05 hxxvxx
122 7.1 1121 27.245 -10.753 4713 4927 4688 4670 4700 4663 4679 4849 6155 8309 6105 5127 178.43 1.267 225.651 1126.032124 0.031016908 1119.033124 h20v10 hxxvxx
123 3.6 2227 37.365 9.557 6957 6694 6243 6542 10124 8748 8045 7573 6726 7645 7236 7070 183.556 0.65 196.13 2220.261701 0.018912738 2216.552347 h21v08 hxxvxx
124 36.2 498 75.888 16.333 6560 5756 7340 7387 6659 5514 5571 5842 6272 5454 5944 6459 81.294 3.105 293.42 519.6 0.052745749 504.1233513 h25v07 hxxvxx
125 52.1 354 73.644 33.144 5021 5021 5021 5021 5021 5021 5021 5070 5021 5021 5021 5021 119.582 9.12 251 370.603771 0.201085925 320.1312038 h24v05 hxxvxx
126 16.9 331 75.58 24.917 7897 5751 5618 7650 8052 8725 8548 9072 8506 7956 8407 9080 167.764 1.436 197.655 352.81 0.1391 324.74 h24v06 hxxvxx
127 10.1 228 -0.553 11.474 4182 4144 4157 4339 4315 4356 4316 4345 4325 4507 4100 4132 141.107 1.7 255 238.1215954 0.057194764 223.5369306 h17v07 hxxvxx
